ProductName,ProductStock,ProductBasePrice,ProductSalePrice,ProductCategory,ProductImgURL,ProductShortDescription
ASUS 90MP02K0-BMUA00  P307 TUF Gaming M4 AIR 16000 DPI Gaming Mouse,In stock with Wootware,R849.00,R599.00,Peripherals,https://www.wootware.co.za/media/catalog/product/cache/1/image/512x512/9df78eab33525d08d6e5fb8d27136e95/1/-/1-hwnkvvgs.jpg,"- 16000 DPI

- IPX6 Water Repellent

- Gaming-Grade Optical Sensor 

- Ultra Lightweight 47g Air Shell Design

- Asus Antibacterial Guard Treatment

- Exclusive Armoury Crate Software

- 2 Year Warranty"
"Samsung LS24R35AFHMXUE SR24R 23.8"" Full HD(1920x1080) 75Hz 5ms IPS Freesync Desktop Monitor",In stock with Wootware,"R3,299.00","R2,599.00",Monitors,https://www.wootware.co.za/media/catalog/product/cache/1/image/512x512/9df78eab33525d08d6e5fb8d27136e95/s/2/s24r350_001_front_black_gallery001-m4sq2shs.jpg,"- 23.8"" IPS Panel Technology

- Full HD (1920x1080) Resolution

- 5ms Response Time

- 75Hz Refresh Rate

- AMD Freesync

- Game Mode

- 250 cd/m² Brightness

- 1x HDMI 1.4, 1x VGA

- Eye Saver Mode

- Flicker-Free

- 1 Year Warranty"
Metallic Gear MG-F120PDRGB_BK Skiron D-RGB 120mm PWM Case Fan,In stock with Wootware,R429.00,R199.00,Case Fans,https://www.wootware.co.za/media/catalog/product/cache/1/image/512x512/9df78eab33525d08d6e5fb8d27136e95/m/g/mg-skiron-drgb-120-01.jpg,"- 120mm

- Max Airflow: Up to 50 CFM

- Static Pressure: Up to 0.93 mmH2O

- 1500RPM +/- 10%

- 29dBA Maximum Noise Level

- 4-Pin PWM Connector

- Rifle Bearing

- Integrated D-RGB Lighting

- 12x Independent LEDs

- 5 Year Warranty"
Zotac GeForce RTX 4080 Trinity OC ZT-D40810J-10P 16GB GDDR6X 256-bit PCI-E 4.0 Desktop Graphics Card,In stock with Wootware,"R31,299.00","R26,499.00",GPUs,https://www.wootware.co.za/media/catalog/product/cache/1/image/512x512/9df78eab33525d08d6e5fb8d27136e95/z/t/zt_d40810j_10p_image01-28ezdrhs.jpg,"- Base Clock: 2205MHz

- Boost Clock: 2520MHz

- CUDA Cores: 9728

- 3rd Gen Ray Tracing Cores

- 4th Gen Tensor Cores

- NVIDIA Optical Flow Accelerator Technology

- Memory: 16GB GDDR6X

- Memory Clock: 23Gbps

- NVIDIA Ada Lovelace Architecture (Ada)

- Real-Time Ray Tracing Technology

- NVIDIA DLSS 3.0 Super Resolution AI Rendering Technology

- PCIe 5.0 12VHPWR Ready

- 3x DisplayPort 1.4a, 1x HDMI 2.1

- Multi-Display Capability: 4 Displays

- Maximum Digital Resolution: 7680x4320 @ 60Hz

- NVIDIA GeForce Game Ready & Studio Drivers

- NVIDIA G-Sync Premium

- NVIDIA Reflex

- NVIDIA Broadcast

- NVIDIA AV1 Encoder

- NVIDIA Omniverse 3D Design

- NVIDIA Canvas

- AIR Optimised Design

- IceStorm 2.0 Advanced Cooling

- SPECTRA 2.0 RGB Lighting

- Dual BIOS

- ZOTAC GAMING FireStorm Utility

- 3 Year Warranty"
Sabrent SB-ROCKET-1TB ROCKET 1TB M.2 (2280) NVMe PCI-E 3.0 Solid State Drive,In stock with Wootware,"R3,279.00","R2,079.00",SSDs,https://www.wootware.co.za/media/catalog/product/cache/1/image/512x512/9df78eab33525d08d6e5fb8d27136e95/s/b/sb-rocket-1tb-main-7.jpg,"- 1TB Drive Capacity

- M.2 (2280) Form Factor

- PCIe Gen3 x 4 Interface

- Sequential Read Speed: Up to 3,400 MB/s

- Sequential Write Speed: Up to 3,000 MB/s

- Flash Memory: 3D TLC NAND

- MTBF: 1,800,000 Hours

- Includes Free Sabrent Acronis True Image For Cloning, Backup and Recovery

- 5 Year Warranty or 1,665TBW (Free and Fast Online Registration Required)"
XFX Radeon RX 6600 Speedster SWFT 210 Core RX-66XL8LFDQ 8GB GDDR6 128-bit PCI-E 4.0 Desktop Graphics Card,In stock with Wootware,"R8,699.00","R5,699.00",GPUs,https://www.wootware.co.za/media/catalog/product/cache/1/image/512x512/9df78eab33525d08d6e5fb8d27136e95/x/f/xfx-radeon-rx-6600-speedster-swft210-core-rx-66xl8lfdq-8gb-gddr6-graphics-card-1.jpg,"- Base Clock: Up to 1626 MHz

- Game Clock: Up to 2044 MHz

- Boost Clock: Up to 2491 MHz

- Stream Processors: 1792

- Infinity Cache: 32MB

- Memory: 8GB GDDR6

- Memory Clock: 14Gbps

- AMD RDNA 2 Architecture

- 7nm GPU

- PCI-E Gen 4.0

- 3x DisplayPort 1.4, 1x HDMI 2.1

- Radeon FreeSync Technology

- Radeon VR Ready Premium

- Premium Quality Backplate

- Dual Fan Cooler

- 2 Year Warranty"
Standard 1.8m Figure 8 Dedicated Red Plug Power Cord,In stock with Wootware,R109.00,R79.00,Other,https://www.wootware.co.za/media/catalog/product/cache/1/image/512x512/9df78eab33525d08d6e5fb8d27136e95/p/c/pc-6df87mbk1.8.jpg,"- 1.8m Figure 8 Power Cord

- Dedicated Red Plug"
G.Skill F5-6000J3636F16GX2-TZ5RS Trident Z5 RGB 32GB (2 x 16GB) DDR5-6000MHz CL36 1.35V Silver Desktop Memory,In stock with Wootware,"R3,879.00","R3,529.00",Memory,https://www.wootware.co.za/media/catalog/product/cache/1/image/512x512/9df78eab33525d08d6e5fb8d27136e95/t/r/trident_z5_rgb_silver_x2_02-wvmsxjgs_3.jpg,"- 32GB (2 x 16GB)

- DDR5-6000MHz

- 1.35V

- CL36

- 288-pin DIMM

- Intel eXtreme Memory Profile 3.0

- Dual Channel Kit

- Extreme Performance DDR5

-  Hand screened IC's

- Customizable RGB lighting support

- Optimised for Intel Z690 and 12th Gen CPU's

- Limited Lifetime Warranty

View the Qualified Vendors List for this product Here"
"Mushkin MKNSSDEL1TB Element 1TB 2.5"" SATA 3.0 6Gb/s Solid State Drive",In stock with Wootware,"R1,599.00","R1,079.00",SSDs,https://www.wootware.co.za/media/catalog/product/cache/1/image/512x512/9df78eab33525d08d6e5fb8d27136e95/m/u/mushkin-elementsata-1tb-01.jpg,"- 1TB Storage Capacity

- 2.5"""" Form Factor

- SATA III 6Gb/s Interface

- Up to 500 MB/s Sequential Read Speed

- Up to 450 MB/s Sequential Write Speed

- Flash Memory: 3D NAND

- 3 Year Limited Warranty"
Fractal Design FD-C-POR1M-01 Pop Mini Air RGB White Tempered Glass Clear Tint Steel Micro-ATX Mid Tower Desktop Chassis,Stock Coming Soon,"R1,949.00","R1,629.00",Chassis,https://www.wootware.co.za/media/catalog/product/cache/1/image/512x512/9df78eab33525d08d6e5fb8d27136e95/p/o/pop_mini_air_rgb_white_tgc_1_front_left-bosgslhs.jpg,"- Unique Hexagonal Mesh Design

- Steel Chassis

- Clear Tint Tempered Glass

- Mid Tower Form Factor

- Colour: White

- Supports Micro-ATX, Mini-ITX Motherboards

- 2x Universal 3.5""/2.5"", 2x Dedicated 2.5"" Drive Bays Included, 4 Positions Supported Total

- 2x 5.25"" Half-Length Drive Bays

- 2x USB 3.0 Type-A

- Audio I/O, Power Button, Reset Button, RGB Button

- Radiator Maximum Supported Length: Up To 240mm (Front)

- CPU Cooler Clearance: 170mm

- Maximum GPU Length: Up to 365mm

- Versatile Interior

- Superior Airflow By Design

- 3x Aspect 12 RGB Fans Included

- Built-In RGB Controller

- 2 Year Warranty"
