ProductName,ProductStock,ProductDescription,ProductBasePrice,ProductSalePrice,ImageURL,Cat,Image-src,Date
AMD 100-100000263BOX Ryzen 7 5700G 8-Core 3.8GHz (4.6GHz Boost) Socket AM4 Desktop APU,In stock with Wootware,In stock with Wootware,"R6,949.00","R4,249.00",https://www.wootware.co.za/amd-100-100000263box-ryzen-7-5700g-octa-core-3-8ghz-4-6ghz-boost-socket-am4-desktop-apu.html,CPUs,https://www.wootware.co.za/media/catalog/product/cache/1/image/512x512/9df78eab33525d08d6e5fb8d27136e95/a/m/amd-ryzen-7-5000g-series-01.jpg,"2015, 12, 25, 0, 0, 0, 0"
G.Skill F4-3000C16D-16GISB Aegis 16GB (2x8GB) DDR4-3000MHz CL16 1.35V Black Desktop Memory,In stock with Wootware,In stock with Wootware,R899.00,R829.00,https://www.wootware.co.za/g-skill-f4-3000c16d-16gisb-aegis-16gb-2x8gb-ddr4-3000mhz-cl16-1-35v-black-desktop-memory.html,Memory,https://www.wootware.co.za/media/catalog/product/cache/1/image/512x512/9df78eab33525d08d6e5fb8d27136e95/g/_/g.skill-f4-3000c16d-16gisb-01.jpg,"2015, 12, 25, 0, 0, 0, 0"
"ASUS VG27AQZ TUF Gaming 27"" WQHD (2560x1440) 165Hz 1ms IPS HDR10 Gaming Desktop Monitor",In stock with Supplier,In stock with Supplier,"R9,099.00","R8,999.00",https://www.wootware.co.za/asus-vg27aqz-tuf-gaming-27-wqhd-2560x1440-165hz-1ms-ips-hdr10-gaming-desktop-monitor.html,Monitors,https://www.wootware.co.za/media/catalog/product/cache/1/image/512x512/9df78eab33525d08d6e5fb8d27136e95/a/s/asus_vg27aqz_01-rmccynhs.jpg,"2015, 12, 25, 0, 0, 0, 0"
ID-Cooling ZoomFlow 360 XT Snow 360mm ARGB White Liquid CPU Cooler,In stock with Wootware,In stock with Wootware,"R1,879.00","R1,499.00",https://www.wootware.co.za/id-cooling-zoomflow-360-xt-snow-360mm-argb-white-liquid-cpu-cooler.html,CPU Coolers,https://www.wootware.co.za/media/catalog/product/cache/1/image/512x512/9df78eab33525d08d6e5fb8d27136e95/2/0/20210130220702_81421-fdonyqhs.jpg,"2015, 12, 25, 0, 0, 0, 0"
Samsung MZ-V9P1T0BW 990 PRO 1TB NVMe M.2 2280 PCI-Express 4.0 x4 Solid State Drive,In stock with Wootware,In stock with Wootware,"R4,299.00","R3,449.00",https://www.wootware.co.za/samsung-mz-v9p1t0bw-990-pro-1tb-nvme-m-2-2280-pci-express-4-0-x4-solid-state-drive.html,SSDs,https://www.wootware.co.za/media/catalog/product/cache/1/image/512x512/9df78eab33525d08d6e5fb8d27136e95/m/z/mz_v9p1t0bw_01-7rgdoths.jpg,"2015, 12, 25, 0, 0, 0, 0"
"ASUS 90NR0724-M00DY0 TUF Gaming F15 Intel Core i5-11400H 4.50GHz 6-Core 15.6"" Full HD (1920x1080) 144Hz IPS Anti-Glare 8GB (1x8GB) DDR4-3200MT/s NVIDIA GeForce RTX 3050 4GB GDDR6 512GB M.2 NVMe SSD Windows 11 Home Graphite Black Notebook",In stock with Wootware,In stock with Wootware,"R24,231.00","R14,999.00",https://www.wootware.co.za/asus-90nr0724-m00dy0-tuf-gaming-f15-intel-core-i5-11400h-4-50ghz-6-core-15-6-full-hd-1920x1080-144hz-ips-anti-glare-8gb-1x8gb-ddr4-3200mt-s-nvidia-geforce-rtx-3050-4gb-gddr6-512gb-m-2-nvme-ssd-windows-11-home-graphite-black-notebook.html,Notebooks,https://www.wootware.co.za/media/catalog/product/cache/1/image/512x512/9df78eab33525d08d6e5fb8d27136e95/a/s/asus_fx506lh-i516512b0w_1__1.jpg,"2015, 12, 25, 0, 0, 0, 0"
"ASUS UX582ZM-I93210BL0X Zenbook Pro Duo 15 OLED Intel Core i9-12900H 5.0GHz 14-Core 15.6"" 4K UHD(3840x2160) OLED Touch Screen 32GB (On-Board) LPDDR5 1TB PCIe 4.0 NVMe M.2 SSD NVIDIA GeForce RTX 3060 6GB GDDR6 Windows 11 Pro Celestial Blue Gaming Laptop",In stock with Supplier,In stock with Supplier,"R52,661.00","R51,691.00",https://www.wootware.co.za/asus-ux582zm-i93210bl0x-zenbook-pro-duo-15-oled-intel-core-i9-12900h-5-0ghz-14-core-15-6-4k-uhd-3840x2160-oled-touch-screen-32gb-on-board-lpddr5-1tb-pcie-4-0-nvme-m-2-ssd-nvidia-geforce-rtx-3060-6gb-gddr6-windows-11-pro-celestial-blue-gaming-laptop.html,Notebooks,https://www.wootware.co.za/media/catalog/product/cache/1/image/512x512/9df78eab33525d08d6e5fb8d27136e95/z/e/zenbook_pro_duo_15_oled_01-bp7mvxgs.jpg,"2015, 12, 25, 0, 0, 0, 0"
Fractal Design FD-CA-CORE-1100-BL Core 1100 Black Micro-ATX Mid Tower Desktop Chassis,In stock with Wootware,In stock with Wootware,R959.00,R759.00,https://www.wootware.co.za/fractal-design-fd-ca-core-1100-bl-core-1100-black-micro-atx-mid-tower-desktop-chassis.html,Chassis,https://www.wootware.co.za/media/catalog/product/cache/1/image/512x512/9df78eab33525d08d6e5fb8d27136e95/c/2/c2za5l6teqxbrzh28s728g-3d-3d.jpg,"2015, 12, 25, 0, 0, 0, 0"
Fractal Design FD-C-MEL2C-03 Meshify 2 Compact Lite Light Tempered Glass Black Steel ATX Mid Tower Desktop Chassis,Stock Coming Soon,Stock Coming Soon,"R2,329.00","R1,849.00",https://www.wootware.co.za/fractal-design-fd-c-mel2c-03-meshify-2-compact-lite-light-tempered-glass-black-steel-atx-mid-tower-desktop-chassis.html,Chassis,https://www.wootware.co.za/media/catalog/product/cache/1/image/512x512/9df78eab33525d08d6e5fb8d27136e95/m/e/meshify_2_compact_lite_black_tgl_1_left_front-fhbcrnhs.jpg,"2015, 12, 25, 0, 0, 0, 0"
"Alienware AW3423DW 34"" UWQHD (3440x1440) Quantum Dot OLED 175Hz HDR Peak 1000 1800R Curved G-Sync Ultimate Desktop Monitor",In stock with Wootware,In stock with Wootware,"R31,999.00","R23,499.00",https://www.wootware.co.za/alienware-aw3423dw-34-uwqhd-3440x1440-quantum-dot-oled-175hz-hdr-peak-1000-1800r-curved-g-sync-ultimate-desktop-monitor.html,Monitors,https://www.wootware.co.za/media/catalog/product/cache/1/image/512x512/9df78eab33525d08d6e5fb8d27136e95/a/w/aw3423dw_1_.jpg,"2015, 12, 25, 0, 0, 0, 0"
